snapshot_at,Article,Shop,Consegnato_Qty,Venduto_Qty,Periodo_Qty,Altro_Venduto_Qty,Sellout_Percent,Sellout_Clamped,Valore_1,Valore_2,Valore_3,Valore_4
2026-03-19 13:43:43+01:00,59/014053PN,RM,8.0,5.0,1.0,4.0,63.0,63.0,520.0,666.0,108.0,260.0
2026-03-19 13:43:43+01:00,59/014053PN,SC,0.0,0.0,0.0,2.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/014053PN,SD,0.0,0.0,0.0,2.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/014053PN,SM,0.0,0.0,0.0,1.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/014053PN,TV,6.0,0.0,0.0,3.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/014053PN,VR,8.0,3.0,0.0,5.0,38.0,38.0,520.0,385.0,0.0,325.0
2026-03-19 13:43:43+01:00,59/014053PN,WEB,0.0,7.0,1.0,0.0,30.0,30.0,8058.0,4685.0,883.0,5328.0
2026-03-19 13:43:43+01:00,59/017CTM,AR,6.0,4.0,3.0,3.0,67.0,67.0,248.0,452.0,330.0,124.0
2026-03-19 13:43:43+01:00,59/017CTM,BO,6.0,5.0,2.0,6.0,83.0,83.0,248.0,586.0,220.0,248.0
2026-03-19 13:43:43+01:00,59/017CTM,BS,6.0,2.0,0.0,3.0,33.0,33.0,248.0,244.0,0.0,124.0
2026-03-19 13:43:43+01:00,59/017CTM,CA,4.0,1.0,0.0,2.0,25.0,25.0,166.0,122.0,0.0,83.0
2026-03-19 13:43:43+01:00,59/017CTM,CO,6.0,2.0,1.0,3.0,33.0,33.0,248.0,232.0,110.0,124.0
2026-03-19 13:43:43+01:00,59/017CTM,EU,6.0,6.0,2.0,5.0,100.0,100.0,248.0,708.0,220.0,207.0
2026-03-19 13:43:43+01:00,59/017CTM,LN,6.0,1.0,0.0,4.0,17.0,17.0,248.0,122.0,0.0,166.0
2026-03-19 13:43:43+01:00,59/017CTM,ME2,4.0,0.0,0.0,0.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/017CTM,MI,3.0,0.0,0.0,0.0,51.0,51.0,3252693.0,4027696.0,893584.0,1488783.0
2026-03-19 13:43:43+01:00,59/017CTM,NV,6.0,4.0,2.0,5.0,67.0,67.0,248.0,440.0,220.0,207.0
2026-03-19 13:43:43+01:00,59/017CTM,OR,6.0,2.0,1.0,4.0,33.0,33.0,248.0,232.0,110.0,166.0
