Article,Size,Qty,From,To,Reason
59/017PNE,38,1,RM,SC,Fallback to outlet (unfillable run)
59/017PNE,38,1,RM,SC,Fallback to outlet (unfillable run)
59/019PNE,36,1,RI,RM,Fill required run
59/019PNE,37,1,EU,RM,Fill required run
59/019PNE,39,1,EU,RM,Fill required run
59/019PNE,38,1,RI,RM,Top-up to target
59/019PNE,40,1,EU,RM,Top-up to target
59/019PNE,36,1,RM,AR,Fill required run
59/019PNE,37,1,RM,AR,Fill required run
59/019PNE,38,1,RM,AR,Fill required run
59/019PNE,39,1,RM,AR,Fill required run
59/019PNE,40,1,RM,AR,Fill required run
59/019PNE,36,1,AR,EU,Fill required run
59/019PNE,37,1,AR,EU,Fill required run
59/019PNE,39,1,AR,EU,Fill required run
59/019PNE,40,1,AR,EU,Fill required run
59/019PNE,38,1,RM,EU,Top-up to target
59/019PNE,36,1,EU,CO,Fill required run
59/019PNE,37,1,EU,CO,Fill required run
59/019PNE,38,1,EU,CO,Fill required run
59/019PNE,39,1,EU,CO,Fill required run
59/019PNE,40,1,EU,CO,Fill required run
59/019PNE,37,1,CO,RI,Fill required run
59/019PNE,39,1,CO,RI,Fill required run
59/019PNE,38,1,CO,RI,Top-up to target
59/019PNE,36,1,CO,RI,Top-up to target
59/019PNE,37,1,RI,NV,Fill required run
59/019PNE,38,1,RI,NV,Fill required run
59/019PNE,39,1,RI,NV,Fill required run
59/019PNE,37,1,NV,VR,Fill required run
59/019PNE,38,1,NV,VR,Fill required run
59/019PNE,35,1,RI,AU,Fallback to outlet (unfillable run)
59/019PNE,37,1,VR,AU,Fallback to outlet (unfillable run)
59/0215CVBN,36,1,BS,AR,Fill required run
59/0215CVBN,36,1,EU,AR,Top-up to target
59/0215CVBN,36,1,AR,RM,Fill required run
59/0215CVBN,38,1,BS,RM,Top-up to target
59/0215CVBN,36,1,RM,BS,Fill required run
59/0215CVBN,38,1,EU,BS,Top-up to target
59/0215CVBN,39,1,LN,BS,Top-up to target
59/0215CVBN,40,1,LN,BS,Top-up to target
59/0215CVBN,41,1,RI,BS,Top-up to target
59/0215CVBN,36,1,BS,BO,Fill required run
59/0215CVBN,38,1,BS,BO,Top-up to target
59/0215CVBN,38,1,BO,VR,Top-up to target
59/0215CVBN,39,1,BS,VR,Top-up to target
59/0215CVBN,40,1,BS,VR,Top-up to target
59/0215CVBN,41,1,BS,VR,Top-up to target
59/0215CVBN,38,1,VR,RI,Top-up to target
